Herb_ChineseName	Pinyin name	Pharmacopoeial Latin name	Botanical source	Botanical authority	Standardized botanical name source	Material category	Botanical/source note	type	Nature, Flavor and Toxicity	Meridian Tropism	Traditional Actions	Traditional Indications
贯众	Guan Zhong	Cyrtomii Rhizoma	Dryopteris crassirhizoma	Nakai	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%B4%AF%E4%BC%97)	phytomedicine	苦，涩，微寒，有小毒	归肝，胃经	杀蛔、绦、蛲虫，清热解毒，凉血止血	治风热感冒，温热斑疹，吐血，衄血，肠风便血，血痢，血崩，带下，疮疡，尿血，月经过多，刀伤出血，蛔虫、饶虫、绦虫病，人工流产，产后出血
广藿香	Guang Huo Xiang	Pogostemonis Herba	Pogostemon cablin	(Blanco) Benth.	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine	Medicinal part: dried aerial part of Pogostemon cablin.	phytomedicine	辛，微温	归脾、胃、肺经	芳香化浊，和中止呕，发表解暑	用于湿浊中阻，脘痞呕吐，暑湿表证，湿温初起，发热倦怠，胸闷不舒，寒湿闭暑，腹痛吐泻，鼻渊头痛
龟甲	Gui Jia	Testudinis Carapax et Plastrum	Mauremys reevesii	(Gray)	Chinese Pharmacopoeia 2020 Edition; POWO; GBIF	animal-derived medicine	Medicinal part is the dried carapace and plastron of the animal. The synonym Chinemys reevesii (Gray) is widely cited in Chinese Pharmacopoeia and traditional medicinal literature.	Animal Medicines	咸、甘，微寒	归肝、肾、心经	滋阴潜阳，益肾强骨，养血补心，固经止崩	用于阴虚潮热，骨蒸盗汗，头晕目眩，虚风内动，筋骨痿软，心虚健忘，崩漏经多
桂枝	Gui Zhi	Cinnamomi Ramulus	Cinnamomum cassia	Presl	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried young twig; ChP 2020 Vol.1, Page 250	phytomedicine	辛、甘，温	归心、肺、膀胱经	发汗解肌，温通经脉，助阳化气，平冲降气	用于风寒感冒，脘腹冷痛，血寒经闭，关节痹痛，痰饮，水肿，心悸，奔豚
海蛤壳	Hai Ha Ke	Meretricis Concha	Meretrix meretrix	Linnaeus	Zhongyao Da Baike	animal-derived medicine (shell)	Medicinal part: dried shell; collected after fishing	Animal Medicines	苦，咸，寒	归肺、胃经	清热化痰，软坚散结，制酸止痛	用于痰火咳嗽，胸胁疼痛，痰中带血，瘰疠，瘿瘤，胃痛吞酸；外治湿疹，烫伤
海螵蛸	Hai Piao Shao	Sepiae Endoconcha	Sepiella maindronide	Rochebrune	Zhongyao Da Baike	animal-derived medicine	Medicinal part: dried inner shell; used for hemostasis	Animal Medicines	咸、涩，温	归脾、肾经	收敛止血，涩精止带，制酸止痛，收湿敛疮	用于吐血衄血，崩漏便血，遗精滑精，赤白带下，胃痛吞酸；外治损伤出血，湿疹湿疮，溃疡不敛
海藻	Hai Zao	Sargassum	Sargassum pallidum; Sargassum fusiforme	(Turner) C.Agardh; (Harvey) Setchell	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine (algae)	Medicinal part: dried thallus of Sargassum pallidum or Sargassum fusiforme.	phytomedicine	苦、咸，寒	归肝、胃、肾经	消痰软坚散结，利水消肿	用于瘿瘤，瘰疬，睾丸肿痛，痰饮水肿
诃子	He Zi	Chebulae Fructus	Terminalia chebula; Terminalia chebula var. tomentella	Retz.; Retz. var. tomentella Kurt.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe fruit; collected in autumn	phytomedicine	苦、酸、涩，平	归肺、大肠经	涩肠止泻，敛肺止咳，降火利咽	用于久泻久痢，便血脱肛，肺虚喘咳，久嗽不止，咽痛音哑
合欢皮	He Huan Pi	Albiziae Cortex	Albizia julibrissin	Durazz	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried bark; collected in spring/summer	phytomedicine	甘，平	归心、肝、肺经	解郁安神，活血消肿	用于心神不安，忧郁失眠，肺痈，疮肿，跌扑伤痛
何首乌	He Shou Wu	Polygoni Multiflori Radix	Polygonum multiflorum	Thunb	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried root; collected in autumn/winter	phytomedicine	苦、甘、涩，微温	归肝、心、肾经	解毒，消痈，截疟，润肠通便	用于疮痈，瘰疬，风疹瘙痒，久疟体虚，肠燥便秘
核桃仁	He Tao Ren	Juglandis Semen	Juglans regia	L	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried kernel; collected in autumn	phytomedicine	甘，温	归肾、肺、大肠经	补肾，温肺，润肠	用于肾阳不足，腰膝酸软，阳痿遗精，虚寒喘嗽，肠燥便秘
红景天	Hong Jing Tian	Rhodiolae Radix et Rhizoma	Rhodiola crenulata	(Hook. f. et Thoms.) H. Ohba	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried root/rhizome; collected in autumn	phytomedicine	甘、苦，平	归肺、心经	益气活血，通脉平喘	用于气虚血瘀，胸痹心痛，中风偏瘫，倦怠气喘
红藤	Hong Teng	Sargentodoxae Caulis	Sargentodoxa cuneata		Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried stem; collected in autumn/winter	phytomedicine	苦，平	归肝，大肠经	败毒消痈，活血通络，祛风杀虫	治急、慢性阑尾炎，风湿痹痛，赤痢，血淋，月经不调，疳积，虫痛，跌扑损伤
厚朴	Hou Po	Magnoliae Officinalis Cortex	Magnolia officinalis	Rehd. et Wils	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried bark; collected in April-June	phytomedicine	苦、辛，温	归脾、胃、肺、大肠经	燥湿消痰，下气除满	用于湿滞伤中，脘痞吐泻，食积气滞，腹胀便秘，痰饮喘咳
厚朴花	Hou Po Hua	Magnoliae Officinalis Flos	Magnolia officinalis; Magnolia officinalis var. biloba	Rehd. et Wils.; Rehd. et Wils. var. biloba	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried flower bud; collected in spring	phytomedicine	苦，微温	归脾、胃经	芳香化湿，理气宽中	用于脾胃湿阻气滞，胸脘痞闷胀满，纳谷不香
胡黄连	Hu Huang Lian	Picrorhizae Rhizoma	Picrorhiza scrophulariiflora	Pennell	Zhongyao Da Baike (https://zhongyibaike.com/wiki/%E4%B8%AD%E8%8D%AF%E5%A4%A7%E5%85%A8)	plant-derived medicine	Medicinal part: dried rhizome; collected in autumn	phytomedicine	苦，寒	归肝、胃、大肠经	退虚热，除疳热，清湿热	用于骨蒸潮热，小儿疳热，湿热泻痢，黄疸尿赤，痔疮肿痛
胡椒	Hu Jiao	Piperis Nigri Fructus	Piper nigrum	L.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe fruit; divided into black/white pepper	phytomedicine	辛，热	归胃、大肠经	温中散寒，下气，消痰	用于胃寒呕吐，腹痛泄泻，食欲不振，癫痫痰多
虎杖	Hu Zhang	Polygoni Cuspidati Rhizoma et Radix	Polygonum cuspidatum	Sieb. et Zucc	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried rhizome and root; collected in spring/autumn	phytomedicine	微苦，微寒	归肝、胆、肺经	利湿退黄，清热解毒，散瘀止痛，止咳化痰	用于湿热黄疸，淋浊，带下，风湿痹痛，痈肿疮毒，水火烫伤，经闭，癥瘕，跌打损伤，肺热咳嗽
化橘红	Hua Ju Hong	Citri Grandis Exocarpium	Citrus grandis	Tomentosa	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried outer pericarp; main producing area: Huazhou, Guangdong	phytomedicine	苦，辛，温	归脾，肺经	燥湿化痰，理气，消食	主风寒咳喘痰多，呕吐呃逆，食积不化，脘腹胀痛
槐花	Huai Hua	Sophorae Flos	Sophora japonica	L	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried flower/flower bud; collected in summer	phytomedicine	苦，微寒	归肝、大肠经	凉血止血，清肝泻火	用于便血，痔血，血痢，崩漏，吐血，衄血，肝热目赤，头痛眩晕
黄柏	Huang Bai	Phellodendri Chinensis Cortex	Phellodendron chinense	Schneid.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried bark; collected in summer	phytomedicine	苦，寒	归肾、膀胱经	清热燥湿，泻火除蒸，解毒疗疮	用于湿热泻痢，黄疸尿赤，带下阴痒，热淋涩痛，脚气痿躄，骨蒸劳热，盗汗，遗精，疮疡肿毒，湿疹湿疮。盐黄柏滋阴降火，用于阴虚火旺，盗汗骨蒸
黄精	Huang Jing	Polygonati Rhizoma	Polygonatum sibiricum	Red.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried rhizome; processed by steaming; collected in autumn/winter	phytomedicine	甘，平	归脾、肺、肾经	补气养阴，健脾，润肺，益肾	用于脾胃气虚，体倦乏力，胃阴不足，口干食少，肺虚燥咳，劳嗽咳血，精血不足，腰膝酸软，须发早白，内热消渴
黄连	Huang Lian	Coptidis Rhizoma	Coptis chinensis	Franch	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 300	phytomedicine	苦，寒	归心、脾、胃、肝、胆、大肠经	清热燥湿，泻火解毒	用于湿热痞满，呕吐吞酸，泻痢，黄疸，高热神昏，心火亢盛，心烦不寐，心悸不宁，血热吐衄，目赤，牙痛，消渴，痈肿疔疮；外治湿疹，湿疮，耳道流脓。酒黄连善清上焦火热，用于目赤，口疮。姜黄连清胃和胃止呕，用于寒热互结，湿热中阻，痞满呕吐。萸黄连舒肝和胃止呕，用于肝胃不和，呕吐吞酸
黄芪	Huang Qi	Astragali Radix	Astragalus mongholicus; Astragalus membranaceus	Bunge; (Fisch.) Bunge	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part is the dried root. Both listed taxa are legally acceptable original plants in Chinese Pharmacopoeia. The synonym Astragalus membranaceus var. mongholicus (Bunge) P.G.Xiao is widely cited in Chinese Pharmacopoeia for Astragalus mongholicus.	phytomedicine	甘，微温	归肺、脾经	补气升阳，固表止汗，利水消肿，生津养血，行滞通痹，托毒排脓，敛疮生肌	用于气虚乏力，食少便溏，中气下陷，久泻脱肛，便血崩漏，表虚自汗，气虚水肿，内热消渴，血虚萎黄，半身不遂，痹痛麻木，痈疽难溃，久溃不敛
黄芩	Huang Qin	Scutellariae Radix	Scutellaria baicalensis	Georgi	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root; ChP 2020 Vol.1, Page 302	phytomedicine	苦，寒	归肺、胆、脾、大肠、小肠经	清热燥湿，泻火解毒，止血，安胎	用于湿温、暑湿，胸闷呕恶，湿热痞满，泻痢，黄疸，肺热咳嗽，高热烦渴，血热吐衄，痈肿疮毒，胎动不安
火麻仁	Huo Ma Ren	Cannabis Fructus	Cannabis sativa	L.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe seed; collected in autumn	phytomedicine	甘，平	归脾、胃、大肠经	润肠通便	用于血虚津亏，肠燥便秘
鸡内金	Ji Nei Jin	Galli Gigerii Endothelium Corneum	Gallus gallus domesticus	Brisson	Zhongyao Da Baike	animal-derived medicine	Medicinal part: dried gizzard inner wall; stir-fried for digestion	Animal Medicines	甘，平	归脾、胃、小肠、膀胱经	健胃消食，涩精止遗，通淋化石	用于食积不消，呕吐泻痢，小儿疳积，遗尿，遗精，石淋涩痛，胆胀胁痛
蒺藜	Ji Li	Tribuli Fructus	Tribulus terrestris	L	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe fruit; processed to remove thorns	phytomedicine	辛、苦，微温；有小毒	归肝经	平肝解郁，活血祛风，明目，止痒	用于头痛眩晕，胸胁胀痛，乳闭乳痈，目赤翳障，风疹瘙痒
姜黄	Jiang Huang	Curcumae Longae Rhizoma	Curcuma longa	L	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried rhizome; collected in winter	phytomedicine	辛、苦，温	归脾、肝经	破血行气，通经止痛	用于胸胁刺痛，胸痹心痛，痛经经闭，癥瘕，风湿肩臂疼痛，跌扑肿痛
僵蚕	Jiang Can	Bombyx Batryticatus	Bombyx mori	L.	Chinese Pharmacopoeia 2020 Edition; GBIF	animal-derived medicine (fungal-infected)	Medicinal material is the dried body of 4th-5th instar larva of the domestic silkworm, which is infected (or artificially inoculated) with the entomopathogenic fungus Beauveria bassiana (Bals.-Criv.) Vuill.	Animal Medicines	咸、辛，平	归肝、肺、胃经	息风止痉，祛风止痛，化痰散结	用于肝风夹痰，惊痫抽搐，小儿急惊风，破伤风，中风口㖞，风热头痛，目赤咽痛，风疹瘙痒，发颐痄腮
焦槟榔	Jiao Bing Lang	Arecae Semen Tostum	Areca catechu	L.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 槟榔; Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 55	phytomedicine	苦，辛，温	归胃、大肠经	消食导滞	用于食积不消，泻痢后重
焦六神曲	Jiao Liu Shen Qu	Massa Medicata Fermentata Carbonisata	Triticum aestivum; Glycine max	L.; (L.) Merr.	Zhongyao Da Baike	processed plant-derived medicine	Medicinal part: carbonized fermented product; used for digestion	phytomedicine	甘，辛，温	归脾，胃经	健脾和胃，消食调中	治饮食停滞，胸痞腹胀，呕吐泻痢，产后瘀血腹痛，小儿腹大坚积
焦山楂	Jiao Shan Zha	Crataegi Fructus Carbonisata	Crataegus pinnatifida	Bge.var.major N.E.Br	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 山楂; Multi-basal species; Medicinal part: dried ripe fruit; ChP 2020 Vol.1, Page 40	phytomedicine	甘，酸，微温	归脾、胃、肝经	消食健胃，行气散瘀，驱绦虫	治肉食积滞，癥瘕，痰饮，吞酸，肠风，腰痛，恶露不尽，小儿乳食停滞，胃烷胀满，泻痢腹痛，瘀血经闭，产后瘀阻，心腹刺痛，疝气疼痛，高血脂症。生山楂用于消食散瘀，焦山楂用于止泻止痢
桔梗	Jie Geng	Platycodonis Radix	Platycodon grandiflorus	(Jacq.) A.DC.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried root; collected in autumn; peeling optional	phytomedicine	苦、辛，平	归肺经	宣肺，利咽，祛痰，排脓	用于咳嗽痰多，胸闷不畅，咽痛音哑，肺痈吐脓
金沸草	Jin Fei Cao	Inulae Herba	Inula japonica; Inula linariifolia	Thunb.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried aerial part.	phytomedicine	苦、辛、咸，温	归肺、大肠经	降气，消痰，行水	用于外感风寒，痰饮蓄结，咳喘痰多，胸膈痞满
金荞麦	Jin Qiao Mai	Fagopyri Dibotryis Rhizoma	Fagopyrum dibotrys	(D. Don) Hara	Chinese Materia Medica (10th Edition)	plant-derived medicine	Medicinal part: dried rhizome.	phytomedicine	微辛、涩，凉	归肺经	清热解毒，排脓祛瘀	用于肺痈吐脓，肺热喘咳，乳蛾肿痛
金银花	Jin Yin Hua	Lonicerae Japonicae Flos	Lonicera japonica	Thunb.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried flower bud; ChP 2020 Vol.1, Page 220	phytomedicine	甘，寒	归肺、心、胃经	清热解毒，疏散风热	用于痈肿疔疮，喉痹，丹毒，热毒血痢，风热感冒，温病发热
金樱子	Jin Ying Zi	Rosae Laevigatae Fructus	Rosa laevigata	Michx.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried ripe fruit.	phytomedicine	酸、甘、涩，平	归肾、膀胱、大肠经	固精缩尿，固崩止带，涩肠止泻	用于遗精滑精，遗尿尿频，崩漏带下，久泻久痢
荆芥	Jing Jie	Schizonepetae Herba	Schizonepeta tenuifolia	(Benth.) Briq.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%8D%86%E8%8A%A5)	phytomedicine	辛，微温	归肺、肝经	解表散风，透疹，消疮	用于感冒，头痛，麻疹，风疹，疮疡初起
荆芥穗	Jing Jie Sui	Schizonepetae Spica	Schizonepeta tenuifolia	(Benth.) Briq.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%8D%86%E8%8A%A5%E7%A9%97)	phytomedicine	辛，温	归肺、肝经	发表祛风，理血；炒炭后可止血	治感冒发热，头痛，咽喉肿痛，中风口噤，吐血，衄血，便血；崩漏，产后血晕；痈肿，疮疥，瘰疬。荆芥穗效用相同，但发散之力较强
九香虫	Jiu Xiang Chong	Aspongopi Corpus	Aspongopus chinensis	Dallas	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E4%B9%9D%E9%A6%99%E8%99%AB)	Animal Medicines	咸，温	归肝、脾、肾经	理气止痛，温中助阳	用于胃寒胀痛，肝胃气痛，肾虚阳痿，腰膝酸痛
韭菜子	Jiu Cai Zi	Allii Tuberosi Semen	Allium tuberosum	Rottler ex Spreng.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried ripe seed; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E9%9F%AD%E8%8F%9C%E5%AD%90	phytomedicine	辛、甘，温	归肝、肾经	温补肝肾，壮阳固精	用于肝肾亏虚，腰膝酸痛，阳痿遗精，遗尿尿频，白浊带下
菊花	Ju Hua	Chrysanthemi Flos	Chrysanthemum morifolium	Ramat.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried capitulum; ChP 2020 Vol.1, Page 310	phytomedicine	甘、苦，微寒	归肺、肝经	散风清热，平肝明目，清热解毒	用于风热感冒，头痛眩晕，目赤肿痛，眼目昏花，疮痈肿毒
橘红	Ju Hong	Citri Reticulatae Exocarpium	Citrus reticulata	Blanco	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried outer pericarp; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E6%A9%98%E7%BA%A2	phytomedicine	辛，苦，温	归膀胱，小肠，肺，脾，胃，大肠经	散寒燥湿，理气化痰，宽中健胃	主风寒咳嗽，痰多气逆，恶心呕吐，胸脘痞胀
决明子	Jue Ming Zi	Cassiae Semen	Cassia obtusifolia	L.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 312	phytomedicine	甘、苦、咸，微寒	归肝、大肠经	清热明目，润肠通便	用于目赤涩痛，羞明多泪，头痛眩晕，目暗不明，大便秘结
苦参	Ku Shen	Sophorae Flavescentis Radix	Sophora flavescens	Aiton	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%8B%A6%E5%8F%82)	phytomedicine	苦，寒	归心、肝、胃、大肠、膀胱经	清热燥湿，杀虫，利尿	用于热痢，便血，黄疸尿闭，赤白带下，阴肿阴痒，湿疹，湿疮，皮肤瘙痒，疥癣麻风；外治滴虫性阴道炎
苦地丁	Ku Di Ding	Corydalis Bungeanae Herba	Corydalis bungeana	Turcz.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%8B%A6%E5%9C%B0%E4%B8%81)	phytomedicine	苦，寒	归心、肝、大肠经	清热解毒，散结消肿	用于时疫感冒，咽喉肿痛，疔疮肿痛，痈疽发背，痄腮丹毒
苦杏仁	Ku Xing Ren	Armeniacae Semen Amarum	Prunus armeniaca	L. var. ansu Maxim	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Toxic medicinal material; Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 315	phytomedicine	苦，微温；有小毒	归肺、大肠经	降气止咳平喘，润肠通便	用于咳嗽气喘，胸满痰多，肠燥便秘
款冬花	Kuan Dong Hua	Farfarae Flos	Tussilago farfara	L	Zhongyao Da Baike	processed plant-derived medicine	Medicinal part: honey-processed flower bud; collected in winter	phytomedicine	辛、微苦，温	归肺经	润肺下气，止咳化痰	用于新久咳嗽，喘咳痰多，劳嗽咳血
莱菔子	Lai Fu Zi	Raphani Semen	Raphanus sativus	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%8E%B1%E8%8F%94%E5%AD%90)	phytomedicine	辛、甘，平	归肺、脾、胃经	消食除胀，降气化痰	用于饮食停滞，脘腹胀痛，大便秘结，积滞泻痢，痰壅喘咳
连翘	Lian Qiao	Forsythiae Fructus	Forsythia suspensa	(Thunb.) Vahl	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried fruit; ChP 2020 Vol.1, Page 330	phytomedicine	苦，微寒	归肺、心、小肠经	清热解毒，消肿散结，疏散风热	用于痈疽，瘰疬，乳痈，丹毒，风热感冒，温病初起，温热入营，高热烦渴，神昏发斑，热淋涩痛
莲子	Lian Zi	Nelumbinis Semen	Nelumbo nucifera	Gaertn.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%8E%B2%E5%AD%90)	phytomedicine	甘、涩，平	归脾、肾、心经	补脾止泻，止带，益肾涩精，养心安神	用于脾虚泄泻，带下，遗精，心悸失眠
灵芝	Ling Zhi	Ganoderma	Ganoderma lucidum; Ganoderma sinense	(Leyss. ex Fr.) Karst.; Zhao, Xu et Zhang	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%81%B5%E8%8A%9D)	phytomedicine	甘，平	归心、肺、肝、肾经	补气安神，止咳平喘	用于心神不宁，失眠心悸，肺虚咳喘，虚劳短气，不思饮食
羚羊角	Ling Yang Jiao	Saigae Tataricae Cornu	Saiga tatarica	Linnaeus	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%BE%9A%E7%BE%8A%E8%A7%92)	Animal Medicines	咸，寒	归肝、心经	平肝息风，清肝明目，散血解毒	用于肝风内动，惊痫抽搐，妊娠子痫，高热痉厥，癫痫发狂，头痛眩晕，目赤翳障，温毒发斑，痈肿疮毒
刘寄奴	Liu Ji Nu	Artemisiae Anomalae Herba	Artemisia anomala	S. Moore	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried aerial part; collected in autumn	phytomedicine	苦，温	归心，脾经	破血通经，敛疮消肿	治经闭癥瘕，胸腹胀痛，产后血瘀，跌打损伤，金疮出血，痈毒焮肿
龙胆	Long Dan	Gentianae Radix et Rhizoma	Gentiana scabra; Gentiana triflora; Gentiana manshurica; Gentiana rigescens	Bunge; Pall.; Kitag.; Franch. ex Hemsl.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E9%BE%99%E8%83%86	phytomedicine	苦，寒	归肝、胆经	清热燥湿，泻肝胆火	用于湿热黄疸，阴肿阴痒，带下，湿疹瘙痒，肝火目赤，耳鸣耳聋，胁痛口苦，强中，惊风抽搐
龙骨	Long Gu	Os Draconis	Fossilized mammal bone	Natural fossil	Zhongyao Da Baike	mineral-derived medicine (fossil)	Medicinal part: fossilized bone; often calcined for processing	Animal Medicines	甘，涩，平	归心，肝，肾，大肠经	镇惊安神，敛汗固精，止血涩肠，生肌敛疮	治惊痫癫狂，怔忡健忘，失眠多梦，自汗盗汗，遗精淋浊，吐衄便血，崩漏带下，泻痢脱肛，溃疡久不收口
龙脷叶	Long Li Ye	Folium Sauropi	Sauropus spatulifolius	Beille	Zhongyibaike (https://zhongyibaike.com/wiki/%E9%BE%99%E8%87%B3%E5%8F%B6)	plant-derived medicine	Medicinal part: dried leaf; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E9%BE%99%E8%84%B7%E5%8F%B6	phytomedicine	甘、淡，平	归肺、胃经	清热化痰，润肺通便	用于肺热咳嗽，咯血，咽痛失音，大便秘结
芦根	Lu Gen	Phragmitis Rhizoma	Phragmites australis	(Cav.) Trin. ex Steud.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%8A%A6%E6%A0%B9)	phytomedicine	甘，寒	归肺、胃经	清热泻火，生津止渴，除烦，止呕，利尿	用于热病烦渴，肺热咳嗽，肺痈吐脓，胃热呕哕，热淋涩痛
鹿角胶	Lu Jiao Jiao	Cornu Cervi Colla	Cervus nippon; Cervus elaphus	Temminck; Linnaeus	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E9%B9%BF%E8%A7%92%E8%83%B6)	Animal Medicines	甘、咸，温	归肾、肝经	温补肝肾，益精养血	用于肝肾不足所致的腰膝酸冷，阳痿遗精，虚劳羸瘦，崩漏下血，便血尿血，阴疽肿痛
麻黄	Ma Huang	Ephedrae Herba	Ephedra sinica	Stapf	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried herbaceous stem; ChP 2020 Vol.1, Page 340	phytomedicine	辛、微苦，温	归肺、膀胱经	发汗散寒，宣肺平喘，利水消肿	用于风寒感冒，胸闷喘咳，风水浮肿。蜜麻黄润肺止咳，多用于表证已解，气喘咳嗽
麻黄绒	Ma Huang Rong	Ephedrae Herba	Ephedra sinica; Ephedra equisetina; Ephedra intermedia	Stapf; Bunge; Schrenk et C. A. Mey.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	GBIF species ID: 176781172; taxonomic status: N/A	phytomedicine	辛、微苦，温	归肺、膀胱经	发汗散寒，宣肺平喘，利水消肿	用于风寒感冒，胸闷喘咳，风水浮肿。蜜麻黄润肺止咳，多用于表证已解，气喘咳嗽
马勃	Ma Bo	Lasiosphaera seu Calvatia	Lasiosphaera fenzlii; Calvatia gigantea	Reich.; (Batsch ex Pers.) Lloyd	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E9%A9%AC%E5%8B%83)	Animal Medicines	辛，平	归肺经	清肺利咽，止血	用于风热郁肺咽痛，音哑，咳嗽；外治鼻衄，创伤出血
马齿苋	Ma Chi Xian	Portulacae Herba	Portulaca oleracea	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried aerial part.	phytomedicine	酸，寒	归肝、大肠经	清热解毒，凉血止血，止痢	用于热毒血痢，痈肿疔疮，湿疹，丹毒，蛇虫咬伤，便血，痔血，崩漏下血
